t,x_fit,y_fit,z_fit,x_target,y_target,z_target
0.0000000000,0.0000000000,-0.7909931441,0.0000000000,-0.3523280280,-0.7007952286,-0.7010526316
0.0005002501,-0.0001889469,-0.7913205654,-0.0000062440,-0.3508492199,-0.7031388980,-0.6996059872
0.0010005003,-0.0003778800,-0.7916472330,-0.0000124823,-0.3497652026,-0.7052794442,-0.6981593428
0.0015007504,-0.0005667856,-0.7919731469,-0.0000187093,-0.3488378814,-0.7071282720,-0.6967126985
0.0020010005,-0.0007556501,-0.7922983072,-0.0000249194,-0.3480000879,-0.7085967860,-0.6952660541
0.0025012506,-0.0009444595,-0.7926227138,-0.0000311069,-0.3472138660,-0.7095974956,-0.6938194097
0.0030015008,-0.0011332002,-0.7929463667,-0.0000372661,-0.3464412595,-0.7102423515,-0.6923727653
0.0035017509,-0.0013218585,-0.7932692660,-0.0000433915,-0.3456443123,-0.7107196579,-0.6909261210
0.0040020010,-0.0015104206,-0.7935914117,-0.0000494773,-0.3448139859,-0.7111260410,-0.6894794766
0.0045022511,-0.0016988727,-0.7939128037,-0.0000555179,-0.3440230187,-0.7115581273,-0.6880328322
0.0050025013,-0.0018872012,-0.7942334420,-0.0000615077,-0.3432451308,-0.7121116163,-0.6865861878
0.0055027514,-0.0020753923,-0.7945533267,-0.0000674411,-0.3424432921,-0.7128088167,-0.6851395435
0.0060030015,-0.0022634322,-0.7948724578,-0.0000733123,-0.3415804728,-0.7135876378,-0.6836928991
0.0065032516,-0.0024513073,-0.7951908353,-0.0000791157,-0.3406196427,-0.7143884006,-0.6822462547
0.0070035018,-0.0026390037,-0.7955084592,-0.0000848457,-0.3395034253,-0.7151716165,-0.6807996103
0.0075037519,-0.0028265078,-0.7958253295,-0.0000904967,-0.3381711774,-0.7159681907,-0.6793529660
0.0080040020,-0.0030138058,-0.7961414462,-0.0000960629,-0.3366915769,-0.7167714488,-0.6779063216
0.0085042521,-0.0032008841,-0.7964568093,-0.0001015388,-0.3351428314,-0.7175736075,-0.6764596772
0.0090045023,-0.0033877287,-0.7967714189,-0.0001069187,-0.3336031486,-0.7184071358,-0.6750130328
0.0095047524,-0.0035743262,-0.7970852749,-0.0001121970,-0.3321228625,-0.7192289478,-0.6735663885
0.0100050025,-0.0037606627,-0.7973983774,-0.0001173680,-0.3304928177,-0.7199697192,-0.6721197441
0.0105052526,-0.0039467244,-0.7977107263,-0.0001224260,-0.3287924988,-0.7206058879,-0.6706730997
0.0110055028,-0.0041324978,-0.7980223218,-0.0001273655,-0.3271976824,-0.7211845379,-0.6692264553
0.0115057529,-0.0043179691,-0.7983331637,-0.0001321809,-0.3258841454,-0.7217268146,-0.6677798110
0.0120060030,-0.0045031245,-0.7986432522,-0.0001368663,-0.3250261886,-0.7222536563,-0.6663331666
0.0125062531,-0.0046879503,-0.7989525872,-0.0001414163,-0.3245142749,-0.7227798995,-0.6648865222
