t,x_fit,y_fit,z_fit,x_target,y_target,z_target
0.0000000000,-0.0000000000,-0.1335984145,0.0000000000,-0.3594433400,-0.4733598385,1.8852631579
0.0005002501,-0.0005070668,-0.1337320798,0.0012506710,-0.3593056469,-0.4733908681,1.8854017798
0.0010005003,-0.0010141239,-0.1338657450,0.0025013410,-0.3591679538,-0.4734218977,1.8855404018
0.0015007504,-0.0015211618,-0.1339994103,0.0037520087,-0.3590302607,-0.4734529273,1.8856790237
0.0020010005,-0.0020281710,-0.1341330755,0.0050026732,-0.3588925676,-0.4734839569,1.8858176457
0.0025012506,-0.0025351417,-0.1342667408,0.0062533332,-0.3587548745,-0.4735149865,1.8859562676
0.0030015008,-0.0030420644,-0.1344004060,0.0075039878,-0.3586171814,-0.4735460161,1.8860948896
0.0035017509,-0.0035489295,-0.1345340713,0.0087546357,-0.3584794883,-0.4735770457,1.8862335115
0.0040020010,-0.0040557275,-0.1346677365,0.0100052760,-0.3583417952,-0.4736080753,1.8863721334
0.0045022511,-0.0045624486,-0.1348014018,0.0112559075,-0.3582041021,-0.4736391049,1.8865107554
0.0050025013,-0.0050690833,-0.1349350670,0.0125065291,-0.3580664090,-0.4736701345,1.8866493773
0.0055027514,-0.0055756220,-0.1350687323,0.0137571397,-0.3579287158,-0.4737011641,1.8867879993
0.0060030015,-0.0060820551,-0.1352023975,0.0150077382,-0.3577910227,-0.4737321937,1.8869266212
0.0065032516,-0.0065883731,-0.1353360627,0.0162583236,-0.3576533296,-0.4737632233,1.8870652431
0.0070035018,-0.0070945664,-0.1354697280,0.0175088947,-0.3575156365,-0.4737942529,1.8872038651
0.0075037519,-0.0076006253,-0.1356033932,0.0187594504,-0.3573779434,-0.4738252825,1.8873424870
0.0080040020,-0.0081065403,-0.1357370585,0.0200099896,-0.3572402503,-0.4738563121,1.8874811090
0.0085042521,-0.0086123019,-0.1358707237,0.0212605112,-0.3571025572,-0.4738873417,1.8876197309
0.0090045023,-0.0091179004,-0.1360043890,0.0225110142,-0.3569648641,-0.4739183713,1.8877583529
0.0095047524,-0.0096233263,-0.1361380542,0.0237614974,-0.3568271710,-0.4739494009,1.8878969748
0.0100050025,-0.0101285700,-0.1362717195,0.0250119597,-0.3566894779,-0.4739804305,1.8880355967
0.0105052526,-0.0106336220,-0.1364053847,0.0262624000,-0.3565517848,-0.4740114601,1.8881742187
0.0110055028,-0.0111384727,-0.1365390500,0.0275128173,-0.3564140917,-0.4740424897,1.8883128406
0.0115057529,-0.0116431127,-0.1366727152,0.0287632104,-0.3562763986,-0.4740735193,1.8884514626
0.0120060030,-0.0121475322,-0.1368063805,0.0300135783,-0.3561387055,-0.4741045489,1.8885900845
0.0125062531,-0.0126517219,-0.1369400457,0.0312639198,-0.3560010124,-0.4741355785,1.8887287065
0.0130065033,-0.0131556722,-0.1370737110,0.0325142338,-0.3558633193,-0.4741666081,1.8888673284
0.0135067534,-0.0136593735,-0.1372073762,0.0337645193,-0.3557256262,-0.4741976377,1.8890059503
0.0140070035,-0.0141628164,-0.1373410415,0.0350147751,-0.3555879331,-0.4742286673,1.8891445723
0.0145072536,-0.0146659913,-0.1374747067,0.0362650002,-0.3554502400,-0.4742596969,1.8892831942
0.0150075038,-0.0151688888,-0.1376083719,0.0375151934,-0.3553125469,-0.4742907265,1.8894218162
0.0155077539,-0.0156714993,-0.1377420372,0.0387653537,-0.3551748538,-0.4743217561,1.8895604381
0.0160080040,-0.0161738133,-0.1378757024,0.0400154799,-0.3550371607,-0.4743527858,1.8896990601
0.0165082541,-0.0166758215,-0.1380093677,0.0412655710,-0.3548994676,-0.4743838154,1.8898376820
0.0170085043,-0.0171775143,-0.1381430329,0.0425156258,-0.3547617745,-0.4744148450,1.8899763039
0.0175087544,-0.0176788822,-0.1382766982,0.0437656433,-0.3546240814,-0.4744458746,1.8901149259
0.0180090045,-0.0181799158,-0.1384103634,0.0450156224,-0.3544863883,-0.4744769042,1.8902535478
0.0185092546,-0.0186806057,-0.1385440287,0.0462655619,-0.3543486952,-0.4745079338,1.8903921698
0.0190095048,-0.0191809424,-0.1386776939,0.0475154608,-0.3542110021,-0.4745389634,1.8905307917
0.0195097549,-0.0196809164,-0.1388113592,0.0487653180,-0.3540733090,-0.4745699930,1.8906694137
0.0200100050,-0.0201805185,-0.1389450244,0.0500151323,-0.3539356160,-0.4746010226,1.8908080356
0.0205102551,-0.0206797391,-0.1390786897,0.0512649027,-0.3537979233,-0.4746320522,1.8909466575
0.0210105053,-0.0211785689,-0.1392123549,0.0525146281,-0.3536602308,-0.4746630818,1.8910852795
