t,x_fit,y_fit,z_fit,x_target,y_target,z_target
0.0000000000,0.0000000000,116.3059571258,0.0000000000,72.4288689588,406.6484070000,207.7033690000
0.0005002501,0.3009621154,116.3644464027,0.5188839929,72.3089248891,406.8419862872,207.7848489490
0.0010005003,0.6019208401,116.4229356796,1.0377662383,72.1905926750,407.0357570380,207.8663288979
0.0015007504,0.9028727832,116.4814249565,1.5566449887,72.0739853800,407.2297175450,207.9478088469
0.0020010005,1.2038145542,116.5399142334,2.0755184965,71.9592160682,407.4238661009,208.0292887959
0.0025012506,1.5047427627,116.5984035103,2.5943850145,71.8463978032,407.6182009983,208.1107687449
0.0030015008,1.8056540184,116.6568927872,3.1132427950,71.7356436488,407.8127205298,208.1922486938
0.0035017509,2.1065449314,116.7153820641,3.6320900909,71.6270666688,408.0074355794,208.2737286428
0.0040020010,2.4074121121,116.7738713410,4.1509251548,71.5207799271,408.2027163450,208.3552085918
0.0045022511,2.7082521712,116.8323606179,4.6697462396,71.4168964874,408.3984990778,208.4366885408
0.0050025013,3.0090617199,116.8908498948,5.1885515982,71.3155294135,408.5944621333,208.5181684897
0.0055027514,3.3098373701,116.9493391717,5.7073394835,71.2167917691,408.7902838674,208.5996484387
0.0060030015,3.6105757338,117.0078284486,6.2261081487,71.1207966182,408.9856426357,208.6811283877
0.0065032516,3.9112734241,117.0663177255,6.7448558470,71.0276570244,409.1802167940,208.7626083367
0.0070035018,4.2119270544,117.1248070024,7.2635808319,70.9374860516,409.3741067107,208.8440882856
0.0075037519,4.5125332390,117.1832962793,7.7822813570,70.8503354082,409.5680336975,208.9255682346
0.0080040020,4.8130885930,117.2417855562,8.3009556758,70.7651819590,409.7616665799,209.0070481836
0.0085042521,5.1135897322,117.3002748331,8.8196020423,70.6815915180,409.9546202011,209.0885281326
0.0090045023,5.4140332733,117.3587641100,9.3382187107,70.5995190705,410.1465094041,209.1700080815
0.0095047524,5.7144158341,117.4172533869,9.8568039351,70.5189196017,410.3369490320,209.2514880305
0.0100050025,6.0147340332,117.4757426638,10.3753559700,70.4397480969,410.5255591408,209.3329679795
0.0105052526,6.3149844903,117.5342319407,10.8938730702,70.3619595414,410.7130087849,209.4144479285
0.0110055028,6.6151638263,117.5927212176,11.4123534907,70.2855089204,410.8997345456,209.4959278774
0.0115057529,6.9152686632,117.6512104945,11.9307954865,70.2103512192,411.0853942780,209.5774078264
0.0120060030,7.2152956242,117.7096997714,12.4491973131,70.1364414230,411.2696458374,209.6588877754
0.0125062531,7.5152413338,117.7681890483,12.9675572264,70.0637345171,411.4521470787,209.7403677244
0.0130065033,7.8151024177,117.8266783253,13.4858734822,69.9921854868,411.6325558571,209.8218476733
0.0135067534,8.1148755033,117.8851676022,14.0041443369,69.9217493173,411.8105300276,209.9033276223
0.0140070035,8.4145572190,117.9436568791,14.5223680470,69.8523809939,411.9863560933,209.9848075713
0.0145072536,8.7141441951,118.0021461560,15.0405428695,69.7840355018,412.1612400606,210.0662875203
0.0150075038,9.0136330632,118.0606354329,15.5586670616,69.7166678263,412.3347271844,210.1477674692
0.0155077539,9.3130204566,118.1191247098,16.0767388809,69.6502329527,412.5062736373,210.2292474182
0.0160080040,9.6123030101,118.1776139867,16.5947565854,69.5846858662,412.6753355921,210.3107273672
0.0165082541,9.9114773604,118.2361032636,17.1127184333,69.5199815520,412.8413692215,210.3922073162
0.0170085043,10.2105401460,118.2945925405,17.6306226833,69.4560749955,413.0038306981,210.4736872651
0.0175087544,10.5094880070,118.3530818174,18.1484675944,69.3929211819,413.1622033687,210.5551672141
0.0180090045,10.8083175855,118.4115710943,18.6662514261,69.3304750965,413.3177082151,210.6366471631
0.0185092546,11.1070255255,118.4700603712,19.1839724383,69.2686917244,413.4711143318,210.7181271121
0.0190095048,11.4056084732,118.5285496481,19.7016288913,69.2075260511,413.6222338132,210.7996070610
0.0195097549,11.7040630764,118.5870389250,20.2192190458,69.1469330617,413.7708787536,210.8810870100
0.0200100050,12.0023859853,118.6455282019,20.7367411629,69.0868677414,413.9168612476,210.9625669590
0.0205102551,12.3005738524,118.7040174788,21.2541935043,69.0272850757,414.0599933894,211.0440469080
0.0210105053,12.5986233319,118.7625067557,21.7715743321,68.9681400496,414.2000872733,211.1255268569
0.0215107554,12.8965310807,118.8209960326,22.2888819088,68.9093876485,414.3369549939,211.2070068059
0.0220110055,13.1942937579,118.8794853095,22.8061144974,68.8509828576,414.4704116767,211.2884867549
0.0225112556,13.4919080249,118.9379745864,23.3232703617,68.7928806623,414.6011497735,211.3699667039
0.0230115058,13.7893705456,118.9964638633,23.8403477656,68.7350360477,414.7297339460,211.4514466528
0.0235117559,14.0866779862,119.0549531402,24.3573449737,68.6776249095,414.8560616659,211.5329266018
0.0240120060,14.3838270156,119.1134424171,24.8742602512,68.6209147139,414.9800304049,211.6144065508
0.0245122561,14.6808143054,119.1719316940,25.3910918638,68.5648843771,415.1015376344,211.6958864997
0.0250125063,14.9776365295,119.2304209709,25.9078380777,68.5095111960,415.2204808263,211.7773664487
0.0255127564,15.2742903649,119.2889102478,26.4244971598,68.4547724671,415.3367574521,211.8588463977
0.0260130065,15.5707724909,119.3473995247,26.9410673774,68.4006454872,415.4502649834,211.9403263467
0.0265132566,15.8670795899,119.4058888016,27.4575469987,68.3471075529,415.5609008920,212.0218062956
0.0270135068,16.1632083471,119.4643780785,27.9739342921,68.2941359609,415.6685950625,212.1032862446
0.0275137569,16.4591554507,119.5228673554,28.4902275270,68.2417080079,415.7737564442,212.1847661936
0.0280140070,16.7549175916,119.5813566323,29.0064249732,68.1898009905,415.8764795906,212.2662461426
0.0285142571,17.0504914639,119.6398459092,29.5225249012,68.1383922054,415.9766887927,212.3477260915
0.0290145073,17.3458737649,119.6983351861,30.0385255822,68.0874589493,416.0743083416,212.4292060405
